branch	ahead	behind	files_changed	status
agent/partner-dashboard-rebase-20260806	16	141	29	review
agent/partner-opportunities	2	481	25	stale-delete
audit/partner-api-html-20260805	3	190	12	review
chore/deep-cleanup-tests	1	388	19	stale-delete
chore/direct-bun-markdown-ansi	3	519	27	stale-delete
chore/root-clutter-reduction-phase-4.1	7	1959	17354	stale-delete
codex/agent-odds-v1.13-live-backtest	7	171	16	review
codex/cloudflare-access-hardening	8	583	30	stale-delete
codex/github-issue-portal-review	3	181	66	review
codex/limit-patterns-seed	10	1030	55	stale-delete
codex/partner-accounts-telegram-control	2	590	31	stale-delete
codex/partner-cli-snapshots-20260806	2	69	10	review
codex/partner-history-control	4	590	27	stale-delete
codex/partner-history-glossary	5	587	5	stale-delete
codex/partner-integration-observations-20260806	19	74	75	review
codex/portal-design-tokens-v2	24	725	162	stale-delete
codex/telegram-notifications-review	9	189	71	review
cursor/2ef0930d	3	1691	24	stale-delete
cursor/bm-partner-publish-readme-294c	2	5	9	review
cursor/bm-routing-tenant-owner-294c	2	3	10	review
cursor/contract-screenshot-cli-45b7	2	0	14	review
docs/glossary-schema-v3-labels	3	517	15	stale-delete
docs/http-stack-native	3	555	1	stale-delete
docs/lib-area-maps-mega	2	164	6	review
docs/partner-domain-map	2	591	2	stale-delete
docs/readme-structure-refresh	2	481	9	stale-delete
docs/wiki-index-coverage	6	361	24	stale-delete
feat/agent-odds-partner-liquidity	5	192	7	review
feat/agent-odds-v1.06-edges	3	191	16	review
feat/agent-odds-webview-scrape	2	174	12	review
feat/agent-registry-browser	8	175	34	review
feat/bun-pr-diff	1	39	3	review
feat/bun-types-inventory-v3	3	114	7	review
feat/cli-flag-allowlists-20260807	2	48	6	review
feat/concept-domain-mapping	1	424	8	stale-delete
feat/concept-lifecycle-phase1	4	425	19	stale-delete
feat/concept-registry-phase1	4	425	16	stale-delete
feat/concept-registry-service	2	424	16	stale-delete
feat/doc-refid-check	1	86	5	review
feat/doc-refid-deeper	1	85	7	review
feat/glossary-health	1	507	1	stale-delete
feat/ledger-glossary-fix	2	425	3	stale-delete
feat/ledger-residuals-polish	3	240	14	review
feat/odds-edge-depth	2	148	14	review
feat/partner-accounting-capture	2	442	12	stale-delete
feat/partner-bookmaker-account	2	131	13	review
feat/partner-brand-lifecycle	2	104	10	review
feat/partner-dashboard-artifact-20260805	12	177	64	review
feat/partner-inventory-wire-lint	4	113	7	review
feat/partner-out-capabilities	2	134	15	review
feat/partner-surface-deeper	2	99	13	review
feat/partner-surface-docs-layer-d	2	110	11	review
feat/partner-surface-inventory-docs	4	111	16	review
feat/partner-wire-lint-generic	3	105	11	review
feat/portal-url-planes	5	514	21	stale-delete
feat/soft-accounting-weave	3	543	9	stale-delete
feat/telegram-notifications	7	338	38	stale-delete
feat/tournament-snap-ownership	2	341	8	stale-delete
fix/domain-sweep-resilience	3	424	7	stale-delete
fix/failures-stale-board	2	424	4	stale-delete
fix/resolve-bun-spawn-sweep	2	538	7	stale-delete
test/verbose-fetch-smoke	2	557	2	stale-delete
